"event","trial","time"
"blur","0","728"
"focus","1","7246"
"blur","2","215390"
"focus","2","240807"
"fullscreenenter","2","243726"
"fullscreenexit","239","973727"
"blur","239","975589"
"focus","239","1000872"
"blur","239","1002542"
"focus","239","1045922"
"blur","813","1562055"
"focus","813","1564712"
"blur","918","1967602"
"focus","918","2052356"
"blur","970","2211944"
"focus","970","2221193"
"blur","1054","2516467"
"focus","1054","2530157"
"blur","1077","2887791"
"focus","1077","2894406"
"blur","1126","3568279"
"focus","1126","3570824"
"blur","1129","3615852"
"focus","1130","3619040"
"blur","1308","4008394"
"focus","1308","4010293"
